leg1hip,leg1knee,leg2hip,leg2knee
1.9235345,-1.1838372,1.5246022,-0.72710806
-1.1905326,4.5955105,0.63202715,-0.3377936
2.4735308,-0.6470733,0.87523556,-1.3738828
-2.1374164,4.3809075,2.2359054,2.1753216
-0.5259534,4.42821,0.30834717,-0.6774899
-1.2827849,5.3546185,1.248663,1.4856508
2.9195764,-1.0882148,1.3045002,-0.7771999
3.7020097,-1.4368795,0.10380016,-2.705689
2.2292316,-1.1815782,1.533125,-0.31144226
1.287447,-0.18482752,1.5747752,0.61149114
2.5399272,-1.6451287,1.8820647,0.09013456
2.0681627,-0.92233026,1.7975321,0.65044826
1.2382045,-1.4445667,1.4727337,0.017884742
2.1128757,-1.3557217,2.3453166,-0.7015324
0.7614242,-1.0412235,1.1117276,0.14957449
0.5877006,3.4490206,1.0853242,0.10896167
-1.2602779,4.537355,0.9507913,0.8270326
0.102649055,0.73132724,0.5752444,-0.3680691
1.8979552,-0.6792811,0.45612186,-1.351932
1.5919532,-0.21639875,1.6253492,0.04888309
-0.5946717,3.679127,2.0661552,0.9908233
-1.0493953,4.304871,0.8405961,0.8031665
0.93595785,1.9329591,1.2724531,0.2739058
1.1232171,0.4725777,1.9328526,0.61153466
-1.8726434,5.453721,0.96040666,0.24126548
2.751793,-1.4277325,1.9548702,-0.32929635
2.1971085,-1.0149872,-0.008174881,-2.322475
1.3546329,0.7337599,2.3975608,1.6949508
1.9529898,0.53396344,0.19024804,-0.45159987
-1.4263086,4.77479,0.5081652,-0.2584637
-2.1170855,3.971502,1.7009856,2.3020945
-1.6882547,5.1363473,1.2385557,1.499913
0.87649906,1.6662097,1.7820282,0.5949368
2.937052,-0.0528864,0.14242658,-2.3209553
2.920781,-0.4560352,-0.031722978,-1.7820477
2.8747704,-1.2487175,2.144045,-1.2149048
0.34388784,5.337398,0.5453764,-0.06416096
1.5063655,-0.7389671,1.841954,0.45741528
1.2712908,1.6971053,0.4455135,-1.1853027
0.47039315,2.052038,0.3410285,-0.7878377
-0.16222829,4.9737163,0.29212368,-0.75742704
1.9210274,0.801364,3.0688798,0.40585572
0.052466854,4.528853,0.52504814,0.118842736
1.495948,-1.5589105,1.4350548,-0.10579559
2.485674,-0.9804712,2.1014693,0.18604314
1.0255578,0.7948548,-0.16643834,-0.61225647
-0.9304436,5.362939,0.5491733,-0.23158188
2.2853546,-0.3460902,1.6469382,0.19377959
1.5221132,-0.79104584,0.5138638,-1.458137
0.26752576,1.9691391,0.29871637,-0.7766983
