l_tor,no_tor,r_tor
-2.7342985,-2.219472,4.683913
2.4391153,-0.72831637,-2.058186
13.957584,-3.841601,-11.703888
-8.068328,-6.640273,13.934131
8.823408,-2.445237,-7.394313
2.3015583,-0.6938092,-1.9362628
6.108946,-1.7266166,-5.138553
-2.133407,-1.6872189,3.5790937
2.0729089,-0.63095146,-1.7406602
1.5412201,-0.49173695,-1.28329
11.23608,-3.1008584,-9.42234
14.686424,-4.034706,-12.309525
-5.4282675,-4.4503045,9.334321
6.5781817,-1.852678,-5.529157
-0.088244356,-0.50636595,0.41893438
-9.897505,-8.17024,17.136934
9.257898,-2.5585895,-7.7681193
-0.010360301,-0.43313575,0.3296714
3.8931925,-1.1258699,-3.2551563
1.6147276,-0.5104062,-1.3331975
-3.0633464,-2.4778907,5.1895947
1.9171964,-0.5908238,-1.6054007
-8.160968,-6.727684,14.097082
-9.9449005,-8.202381,17.191994
-5.307583,-4.3463316,9.144109
2.0377564,-0.6201931,-1.7103134
2.6576934,-0.79178274,-2.2418818
8.892123,-2.4755046,-7.4646506
16.181414,-4.4389353,-13.561052
3.883347,-1.1235741,-3.2700572
6.5976934,-1.8655584,-5.5378366
-14.087679,-11.636729,24.378231
-1.3060933,-1.0374813,2.1971567
-2.4082394,-1.9615077,4.1077247
-6.0429745,-4.9286423,10.316982
-3.7387447,-3.050763,6.4251676
7.9432144,-2.2138047,-6.661479
-4.3561316,-3.5443792,7.3725038
2.4086213,-0.72496915,-2.0295758
2.2604823,-0.6832526,-1.9033942
-1.80945,-1.4371104,3.0148354
1.0176393,-0.43269145,-0.78186595
5.892331,-1.6481221,-4.9352174
-6.6348343,-5.437877,11.461271
2.9930248,-0.8838034,-2.525787
-4.555736,-3.7195096,7.8249755
0.80372626,-0.42435697,-0.5501371
6.9618893,-1.9575571,-5.852958
-1.5139169,-1.1722021,2.4720087
5.473434,-1.5494401,-4.59349
10.819616,-3.0133963,-9.077049
0.88783765,-0.44243854,-0.5811331
-4.582433,-3.7477386,7.8500896
7.22563,-2.0067236,-6.0570745
1.7508,-0.7571221,-1.2341653
1.1481518,-0.4539056,-0.89895785
-12.10017,-9.9876175,20.920574
1.0422906,-0.4384265,-0.8037905
2.4771419,-0.7413959,-2.089046
-4.7533054,-3.8826945,8.146826
12.990913,-3.5686839,-10.897865
6.0146627,-1.7012877,-5.05744
7.399294,-2.0689394,-6.2136016
0.71119636,-0.41530302,-0.45022294
-5.3841143,-4.412711,9.244092
1.7050368,-0.53025323,-1.4251224
-2.9740634,-2.5163717,5.1446033
2.0058455,-0.6107085,-1.6802539
-4.9125223,-3.947569,8.2983265
1.6297909,-0.51559025,-1.3467199
-4.7997375,-3.9912155,8.320097
0.48135597,-0.41826984,-0.21386455
8.85602,-2.4584427,-7.422573
-3.1977625,-2.5838697,5.439434
3.25944,-0.9628696,-2.7268677
7.6856713,-2.1519225,-6.457275
0.5658893,-0.64048606,-0.043221887
-0.35867772,-0.63849187,0.84870887
-7.323106,-6.0263796,12.629869
1.775083,-0.54850656,-1.477783
-2.341259,-1.8680005,3.9526145
4.118191,-1.1886592,-3.464397
5.9669743,-1.6884328,-5.0158286
-7.726083,-6.341382,13.350269
-7.2722926,-5.974041,12.583351
4.1276217,-1.1885453,-3.4752595
2.8320632,-0.8376186,-2.3672416
-2.7505825,-2.2151031,4.6474166
-1.9804057,-1.5666618,3.3008351
-11.707506,-9.62992,20.218803
0.83656806,-0.4095767,-0.5954627
3.1690538,-0.9264896,-2.6739714
6.4384274,-1.811757,-5.413666
1.9529263,-0.5965507,-1.6346768
4.71238,-1.3318118,-3.9458728
-10.555292,-8.701802,18.258783
2.5947888,-0.764721,-2.1600995
-3.2705674,-2.663644,5.615554
-1.2032784,-0.9453736,1.9825039
12.4967785,-3.4493194,-10.480305
1.0816296,-0.4363749,-0.8442111
-4.7149706,-3.840142,8.090008
-10.974487,-9.051284,18.979343
2.8429792,-0.84303844,-2.4008646
-4.264888,-3.5133905,7.3848844
7.147938,-2.0094578,-6.003056
-1.340958,-1.028309,2.1888251
-1.7588998,-1.376586,2.9044697
-1.0190308,-0.7808743,1.6864011
13.494519,-3.7025988,-11.322386
-3.7047596,-3.000552,6.3331
-7.893364,-6.489893,13.688814
3.146451,-0.9252964,-2.6550272
-12.522776,-10.317553,21.64035
7.526409,-2.0955465,-6.31152
7.267354,-2.0428207,-6.1047916
3.1919951,-0.93270975,-2.675213
18.920233,-5.1741514,-15.857335
9.354448,-2.593212,-7.8642
14.685382,-4.02254,-12.282213
3.3480065,-0.98016167,-2.8254843
6.920148,-1.9463305,-5.8192897
2.4361706,-0.7281664,-2.0526123
6.6514606,-1.8646487,-5.5843945
-1.4810392,-1.128281,2.3994927
-2.351094,-1.877292,3.9463549
14.825757,-4.0748715,-12.432164
17.813242,-4.873871,-14.932442
1.1532289,-0.44441268,-0.9145355
-5.3543386,-4.389741,9.202953
6.432541,-1.8071276,-5.4000716
3.5342717,-1.0298508,-2.9687457
-2.155853,-1.7208836,3.6484709
10.399317,-2.8855338,-8.728128
1.5813113,-0.50257766,-1.3028232
-2.4806633,-1.9915392,4.1850305
0.8508995,-0.41070887,-0.6108414
-3.3874865,-2.7454655,5.747233
3.7522197,-1.0815127,-3.13046
2.0232534,-0.6186459,-1.6999551
6.6148233,-1.8635821,-5.559715
0.25904688,-0.45307893,0.031713728
-6.4244947,-5.2742195,11.083189
2.540917,-0.75829893,-2.1425095
-7.6129055,-6.251945,13.166599
-4.085663,-3.332683,7.033936
2.160595,-0.6522717,-1.815446
10.6807,-2.9573727,-8.961984
6.515425,-1.828168,-5.4614615
-9.330838,-7.657795,16.107542
-8.3505,-6.870287,14.457016
5.9709044,-1.6897248,-5.0225515
-3.6855838,-2.994065,6.2681527
-0.08577598,-0.43579447,0.36743268
-0.78503597,-0.66297084,1.2771677
2.095144,-0.6362988,-1.7595786
-3.7327902,-3.0318406,6.4028916
11.726006,-3.2410305,-9.820723
2.2757607,-0.68965524,-1.9161738
-1.5215037,-1.2676961,2.579782
12.686745,-3.494435,-10.634005
-5.1014595,-4.1871386,8.804638
-4.5699444,-3.7176173,7.7628717
2.0404766,-0.620514,-1.6732117
1.5622915,-0.49894476,-1.2923312
-10.21014,-8.4219675,17.691065
-7.828956,-6.4429827,13.513816
1.57777,-0.4980195,-1.3124436
19.55643,-5.3420444,-16.397846
5.883917,-1.6627698,-4.9418917
-7.1083403,-5.839918,12.268116
12.173123,-3.3477097,-10.191726
12.742799,-3.509483,-10.69495
3.9259267,-1.1358213,-3.3027577
1.052148,-0.452777,-0.749061
1.3386116,-0.4826397,-1.0513533
-0.8458894,-0.7837699,1.4484128
-3.6718373,-2.9966319,6.2914023
14.196479,-3.9091506,-11.891439
1.5206338,-0.49857914,-1.2527488
1.057252,-0.45611987,-0.75436544
8.927656,-2.4949894,-7.487618
-0.94140375,-0.8318929,1.5777074
7.4501615,-2.086532,-6.25253
11.723292,-3.2355046,-9.828675
-8.702124,-7.1757617,15.056273
9.001741,-2.50417,-7.5536656
-7.38398,-6.079114,12.762744
2.7193885,-0.80947924,-2.2933083
-6.6234865,-5.440057,11.414869
13.361801,-3.6796708,-11.199965
-0.63576406,-0.6953663,1.1909201
3.3007624,-0.9673087,-2.7857802
1.352044,-0.5256808,-1.0016836
3.696685,-1.0711488,-3.1159506
10.527557,-2.9149642,-8.831873
-7.64717,-6.2885284,13.197306
2.379591,-0.7567161,-1.9153895
-1.1922511,-0.9471468,1.9779404
11.465514,-3.1645749,-9.602727
16.236631,-4.450221,-13.606964
-2.0251663,-1.6180149,3.4002197
-5.871854,-4.8139343,10.128856
-5.8584642,-4.8113174,10.085659
10.982723,-3.0350578,-9.207129
4.709643,-1.3625677,-3.9557948
6.353214,-1.7956519,-5.337629
3.8415756,-1.1131927,-3.23198
-3.124225,-2.5034227,5.2734456
12.239669,-3.368747,-10.2668295
5.135064,-1.4523476,-4.3038816
-6.005526,-4.9236674,10.34648
3.8426132,-1.1058307,-3.2104383
2.8639936,-0.84900105,-2.4169545
-4.6576705,-3.8096664,7.9742923
2.9880273,-0.87741715,-2.505034
-9.222023,-7.595427,15.937385
2.5121531,-0.7520608,-2.1089256
0.66076225,-0.41292968,-0.40987822
-4.18186,-3.4144247,7.1917586
8.28561,-2.3156254,-6.944815
5.3587656,-1.5143692,-4.5091414
1.4737998,-0.48179004,-1.2094718
-0.06151651,-0.5062043,0.39097598
-3.2944503,-2.6848354,5.635764
0.2561008,-0.38815826,-0.00029331073
-3.2204232,-2.6109695,5.5073447
1.8109131,-0.55708325,-1.5124229
8.860634,-2.472195,-7.4405
7.3714094,-2.0505445,-6.1904426
-1.1149157,-0.8708344,1.8256134
-6.932769,-5.688035,11.920338
10.987836,-3.0417678,-9.219
17.524378,-4.7937336,-14.673662
-2.8969111,-2.3342977,4.9091907
9.763226,-2.7139935,-8.194548
-10.367357,-8.539353,17.929226
-4.724519,-3.866863,8.111235
-1.8076998,-1.4159691,2.989232
3.970088,-1.1467835,-3.345088
-5.2822657,-4.3712215,9.142605
5.7407827,-1.6457881,-4.82863
-1.3537016,-1.0256996,2.2099755
-4.0197144,-3.3196514,6.930706
14.96681,-4.1107116,-12.547899
-7.1322474,-5.867584,12.306448
-4.4068832,-3.6040728,7.5523314
0.61404014,-0.41151744,-0.35583234
5.865413,-1.65645,-4.9307
1.6213468,-0.50973016,-1.3425516
