no-op,fire left,fire main,fire right
-0.020527538,-1.9528509,-0.44127947,1.6195658
-0.55207634,-1.2611753,0.34947702,0.55814296
0.7553695,0.6438352,-1.2845972,0.74263
1.2940484,1.5818036,-2.1078742,0.79649657
-0.46274075,0.17599972,0.3994513,-0.3490706
-0.40445068,-0.19991165,0.22032885,-0.0038951933
-1.594842,-2.8174827,1.6449273,0.4082594
0.57267547,0.0598713,-1.0750825,0.9312238
-0.55588305,0.1351499,0.5268897,-0.43261993
0.5675578,0.04489609,-1.0689242,0.93553233
-1.2164247,-3.430728,1.0472779,1.2580279
1.0502234,3.5889297,-1.6289692,-0.80554867
0.2463858,-0.8685558,-0.6739658,1.1773285
-0.41437876,0.39376253,0.37827635,-0.45376825
-0.59431803,-0.2538983,0.540688,-0.20855403
0.7343379,0.55405253,-1.2629731,0.77804726
-0.7473216,-0.067697346,0.77293396,-0.5192245
-1.185629,-1.6291481,1.2179964,0.04452774
1.282529,1.5483598,-2.0977077,0.8072868
-1.2720916,-1.5405166,1.3527069,-0.12230128
1.2834148,1.5600501,-2.0950272,0.79957837
1.3017797,1.610799,-2.1144824,0.7854469
0.7362431,0.60674846,-1.259186,0.7462059
-1.4050832,-2.9977171,1.3526094,0.76921564
0.7308819,0.5944141,-1.2525749,0.74864465
-0.33971548,-0.26184037,0.17591737,0.10546042
-0.44796798,0.533975,0.43323126,-0.58884656
-0.47156,0.32819888,0.4459291,-0.47410333
1.023557,3.367689,-1.5899849,-0.6929415
0.2945497,-0.4130532,-0.8169953,0.9713787
-0.31279773,-0.07752782,0.15686512,0.009462431
-0.26784712,0.39335403,0.13519332,-0.25954714
0.65867436,0.32708922,-1.1761165,0.8462206
-1.5923307,-2.8892431,1.6272132,0.46310505
-0.51795626,0.5528816,0.5152127,-0.67580456
-0.021704156,0.22568548,-0.22629732,0.15027499
-1.0299823,-2.2966204,0.89845717,0.7106201
1.2742872,1.521262,-2.0919907,0.8177645
0.7270453,0.59095323,-1.2469983,0.74673676
1.2865901,1.5598217,-2.1013558,0.8036809
-1.2973567,-3.2833784,1.1704364,1.0858469
0.5646494,0.03641966,-1.0654218,0.93795466
-1.1904559,-3.9728189,0.97998947,1.6421403
0.7331709,0.5950625,-1.2559636,0.75053626
1.0267961,3.2111835,-1.5981259,-0.5852507
-1.3628576,-3.6544785,1.2214658,1.2547113
1.2886753,1.5741986,-2.100168,0.7953511
1.2935874,1.580493,-2.1074848,0.7969309
0.74796844,0.62706697,-1.2750764,0.74560535
-0.7227198,0.10660296,0.7582509,-0.6120446
-0.6238481,0.44310474,0.6732904,-0.73741007
-1.2578931,-3.085277,1.1494601,0.99679875
0.74896026,0.6267493,-1.2766643,0.7468434
0.6368208,0.24930438,-1.1516783,0.8745674
0.6813177,0.39457837,-1.2026222,0.82582587
1.2643125,1.4827162,-2.0877035,0.83496296
-0.3419847,0.034187704,0.21141647,-0.10410561
0.6687385,0.3559629,-1.1881793,0.83781314
0.7399476,0.651564,-1.2536461,0.71603113
-0.2872625,-0.10247517,0.13044588,0.052457914
1.263483,1.484682,-2.0848362,0.8323271
-1.5865542,-3.0683382,1.5875645,0.608703
-0.2382625,-2.4614758,-0.17566235,1.7032
-1.184448,-2.561541,1.1101978,0.7119493
-0.95139116,-1.4664525,0.90054977,0.21534488
-0.58413804,-1.5121857,0.33438307,0.6994927
0.5647613,0.057168134,-1.0650275,0.9256636
0.7415226,0.5766943,-1.2711129,0.7709418
0.7064718,0.469084,-1.2314019,0.803893
-0.7624615,0.24972786,0.8330154,-0.760894
0.74889505,0.6007161,-1.279587,0.76329136
1.2870338,1.56852,-2.0987434,0.79742134
-0.08318213,0.1189434,-0.15641737,0.15350872
-0.6875582,-0.1456407,0.6752344,-0.3910472
0.55695564,0.014451973,-1.0561061,0.9440589
-1.0385342,-2.7734933,0.87352526,1.0315382
-0.4390255,-0.17753449,0.3212492,-0.070949554
-0.22840641,-0.6248236,-0.03223291,0.4982083
-0.43785295,0.083819844,0.3663184,-0.26054344
-0.6812831,0.021300212,0.69424194,-0.50522405
0.737901,0.60050845,-1.2625146,0.75190806
-0.5330191,-0.42644313,0.45170757,-0.021191493
0.7393707,0.623029,-1.2604504,0.7375774
-1.1714553,-2.5083623,1.0825102,0.68818843
-0.67252034,0.16789141,0.6934859,-0.59441113
1.2793705,1.540541,-2.0944412,0.8092649
0.74526644,0.61334276,-1.2724304,0.751449
0.6271,0.23364261,-1.138541,0.8744508
0.60118663,0.14372276,-1.1092062,0.9064249
-0.70055515,-1.3068877,0.55624527,0.4092254
1.198513,1.1746941,-1.9915218,0.9291848
0.61156,0.18790366,-1.1199851,0.8881415
-0.4472683,0.616343,0.4286747,-0.63898367
-0.021203626,0.5155033,-0.17021002,-0.06291799
-0.5510839,-0.034394383,0.5153525,-0.3151372
1.3028953,1.6143385,-2.1155717,0.7842922
1.2837896,1.5537492,-2.0981004,0.8047221
0.7517671,0.62010586,-1.2818367,0.75402176
-0.53778744,0.08910416,0.50309473,-0.38220188
1.0887356,4.0757284,-1.6807797,-1.0819443
