cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.3822023,-0.92407864,-0.10481277,0.994492,-0.6130659,1.4556227
0.85008323,0.5266484,0.6664896,-0.74551433,0.20119292,-1.2845767
0.14838535,0.9889296,-0.5379607,-0.8429699,0.4611567,-1.6798556
-0.092669375,0.99569696,-0.72132385,-0.6925979,-1.3101548,-2.3330128
-0.1857084,0.9826049,-0.18541346,-0.9826606,0.38730937,-3.8330944
0.063160166,-0.9980034,-0.9119079,0.41039494,0.90198153,1.2125933
-0.8486287,-0.528989,-0.99999,0.0044813207,5.4240885,-2.5479593
0.40991095,-0.9121255,0.37417528,0.927358,-2.626894,5.080302
0.77536714,-0.63151073,0.91850245,-0.39541534,5.618908,-8.220251
0.36060554,0.9327184,0.9852207,0.1712898,2.6684403,-5.7159104
0.9988933,0.047033083,0.99247444,-0.12245214,0.31462163,-0.5951863
0.90008384,0.43571672,0.8806692,-0.47373173,0.87959594,-2.2471292
-0.7188906,-0.6951232,-0.49531966,0.86871076,2.8406012,-4.06236
0.9752005,-0.22132346,0.98104304,-0.19378991,-1.729741,2.8939707
0.966857,-0.25531855,0.94500893,0.3270445,-0.40670893,1.3720206
0.87845016,-0.477834,0.4440975,0.89597845,2.775363,-3.9037664
-0.15132144,-0.9884846,-0.9887599,0.14951232,2.432967,0.94349277
0.5532077,-0.83304334,-0.14850682,0.9889114,1.748422,-1.6345017
0.9877063,-0.15632086,0.9989439,0.04594654,-0.5747563,1.433747
0.99978673,0.02065065,0.9994211,-0.034021094,0.22357301,-0.34272316
0.31662548,0.94855064,-0.89363027,-0.44880387,-2.7853475,-0.6422324
0.9432442,-0.3320999,0.15897998,-0.9872818,6.163585,-7.3525805
-0.99973345,0.023086296,-0.9292681,0.36940598,3.3686724,-4.9385633
0.9998941,0.014553057,0.9235068,0.3835821,1.1280504,-1.8101048
0.99467593,0.103052534,0.9761323,0.21717697,3.4071188,-5.611683
0.81283283,0.582497,-0.4112505,0.9115224,4.144293,-3.9587252
0.989324,0.14573297,0.9294681,-0.36890247,0.26925352,-0.64897496
0.84617823,0.5329,0.48597902,-0.87397045,-2.126619,2.6011982
-0.8664478,0.4992677,-0.66749525,-0.74461406,2.3009298,-2.9747798
0.7253598,0.6883699,0.59432656,-0.8042238,2.7550588,-4.6920667
-0.97558296,-0.21963139,-0.8481355,-0.5297794,5.5226083,0.6532624
0.9827886,0.1847336,0.88509154,-0.46541694,0.11612301,-0.39252275
0.70047516,-0.71367675,0.4165652,0.90910584,0.2753742,0.8898467
0.23528916,0.97192544,0.755225,-0.6554656,4.3998213,-5.660361
0.78372014,0.62111413,0.3329342,-0.94295007,-2.027691,1.9850719
0.18052495,0.9835704,-0.5969296,-0.8022936,-2.3006718,-1.2227485
0.8548531,0.5188701,-0.05183739,-0.99865556,-3.0216851,3.877145
0.78568625,0.61862516,0.44452322,0.89576733,3.1760736,-5.230481
0.6423148,0.7664409,-0.4715944,0.8818156,4.3990707,4.385893
0.98620206,0.16554609,0.92942053,-0.3690223,0.215682,-0.55402553
0.31393617,-0.9494441,0.21047297,0.9775997,6.2053337,-6.641734
0.9002436,0.43538657,-0.23912898,-0.9709878,5.574067,-5.411837
0.9969877,-0.07755961,0.75414497,-0.65670794,-3.6569152,6.0527525
0.6720114,-0.7405408,0.7887591,0.6147024,-3.1766052,6.0109763
0.8278083,0.5610111,-0.12845269,-0.9917156,-3.0132227,3.7176483
0.3517802,-0.9360826,0.014330372,0.9998973,-0.92401254,1.8830624
-0.32288986,-0.9464365,-0.9987744,0.049494013,1.993821,1.3614513
0.98763853,0.15674861,0.8757073,-0.48284227,-0.246597,0.29031914
0.7294779,-0.6840044,-0.42413044,0.9056011,5.6159954,-5.4837766
-0.57244796,0.81994104,-0.84336066,-0.5373479,6.472441,-1.104388
-0.15036008,0.9886313,-0.11105868,-0.9938139,-0.33002982,-3.2460642
-0.31623003,0.94868255,0.9790245,0.20374241,2.1946766,-4.44786
-0.7079471,0.7062655,0.20065877,-0.97966117,0.034878336,-3.418269
0.8442274,0.5359852,0.6479357,-0.761695,0.24359833,-1.4248538
-0.5743386,-0.8186178,-0.9036677,0.4282344,0.8211904,2.5302024
0.5944183,0.804156,0.40814573,-0.9129168,0.9788197,-1.9790972
0.94843155,-0.31698194,0.6884586,0.72527564,0.23363622,0.38427898
-0.49068278,-0.8713383,-0.88992774,0.45610154,1.1643301,2.251621
0.85576004,-0.51737297,0.9410418,0.33829018,-1.4342669,2.913608
0.87685746,-0.4807505,0.8647811,0.50214905,-2.6345906,4.259567
0.9179685,-0.39665323,0.972034,0.2348402,-2.888844,4.527179
0.9998268,0.018611673,0.9951891,-0.09797315,0.2973252,-0.6100419
0.21508555,0.9765952,-0.68298614,-0.7304314,-0.83174044,-0.19418097
0.9982374,0.059347548,0.93523675,-0.35402295,-2.8090317,4.275426
-0.90725166,0.42058817,-0.17410414,-0.98472726,-3.972567,3.0903294
0.85873115,-0.5124264,0.9261234,0.37722072,-1.3327447,2.624627
0.8003336,0.5995549,0.9149485,0.40357053,-6.4677896,7.3548336
0.99741954,0.071793064,0.9063606,-0.42250496,-2.8368278,4.261933
0.9819727,0.18902285,0.8633698,-0.5045716,-0.07383093,-0.048860177
0.9579846,-0.2868196,0.75965464,0.6503267,0.2704155,0.3878838
0.4742699,0.8803795,-0.6285758,0.77774835,3.636896,-2.5718224
-0.0071710986,-0.9999743,-0.6791357,0.7340128,-0.5443522,2.7570965
0.9995385,-0.03037889,-0.12363356,-0.9923279,-4.1917114,3.7939973
-0.94136995,0.3373761,-0.9278836,-0.37286994,4.1221967,4.4559135
0.99880576,0.04885796,0.9340398,-0.35716894,-0.3449831,0.416692
-0.9598682,-0.28045145,-0.9428451,0.33323127,2.0972075,-3.2020242
-0.044570446,0.9990063,0.6317784,-0.77514905,1.3603803,-4.6868315
0.9730444,0.23061785,0.9999941,-0.0034385738,1.239294,-2.5314085
0.17741662,0.9841358,0.49995744,-0.86605,6.6000605,-9.445484
-0.7720072,-0.63561374,-0.13612331,0.9906919,3.9209523,-5.8949237
0.9530846,-0.30270407,0.73066354,0.6827377,0.26062533,0.33717704
-0.20909958,-0.97789437,-0.93646336,0.35076544,4.577873,-2.5305977
0.5784297,-0.81573224,0.35037416,0.9366098,-1.7815396,3.0086808
