l_tor,no_tor,r_tor
1.0400538,-0.43434563,-0.8007388
2.2321754,-0.674412,-1.8785018
0.30698836,-0.4462467,-0.017426554
2.2236466,-0.67451704,-1.8702103
2.1133425,-0.6445423,-1.7755705
1.517074,-0.4915791,-1.2422091
1.602854,-0.51090634,-1.3236083
1.1321127,-0.44336367,-0.89380026
1.8959233,-0.5803173,-1.5865208
0.27987266,-0.4506474,0.009516161
1.281171,-0.45832482,-1.0348594
0.24003506,-0.46064234,0.055909533
1.9386338,-0.59408695,-1.6228472
2.0526686,-0.62639266,-1.7228745
2.3211906,-0.7006568,-1.9543246
2.1006656,-0.63741446,-1.7644529
1.9910766,-0.6112521,-1.6694716
0.6131332,-0.41123408,-0.345355
2.1757426,-0.6568707,-1.8289113
1.0752509,-0.44318205,-0.83147633
2.4778237,-0.7407731,-2.0893393
2.326033,-0.7008713,-1.9586381
1.6003646,-0.50596946,-1.3214773
2.1204855,-0.6468087,-1.7817237
0.19852203,-0.4656705,0.09770702
0.9932447,-0.4283976,-0.75838184
1.031428,-0.43414032,-0.79113793
1.8684423,-0.57700557,-1.5629684
1.0464058,-0.4429571,-0.80503803
0.51443154,-0.4198489,-0.24234591
0.92646366,-0.41777858,-0.6853324
0.8332955,-0.41100025,-0.5877735
1.5629239,-0.5033763,-1.2915381
1.1252556,-0.43928504,-0.88946927
1.9225976,-0.59167534,-1.6099101
0.42235515,-0.42677894,-0.14814974
1.2255005,-0.4603556,-0.9746202
2.428522,-0.7286607,-2.0455217
0.7222164,-0.40959132,-0.46534643
2.1359904,-0.65007895,-1.7952226
2.0680077,-0.62733525,-1.7352802
0.5283868,-0.41407314,-0.26260725
1.4860281,-0.48876247,-1.2223488
1.6550349,-0.5181792,-1.3725634
2.1243093,-0.64340574,-1.78529
1.7401859,-0.53873354,-1.4503778
0.98736066,-0.43474585,-0.7364076
0.5990214,-0.41883132,-0.3322871
0.9997845,-0.44115534,-0.7563052
0.19590452,-0.4670933,0.10219723
1.9023405,-0.58361274,-1.5915238
2.0512476,-0.624929,-1.7198442
0.8177723,-0.41944474,-0.57048285
1.8222991,-0.5626301,-1.5211681
1.7704105,-0.54634345,-1.4755839
0.21410769,-0.461137,0.0811754
1.4785852,-0.48656514,-1.211927
1.0917244,-0.4368507,-0.85444367
1.6019355,-0.51385134,-1.3248793
2.3601413,-0.707623,-1.9884101
1.0339092,-0.44651926,-0.78888065
0.3981884,-0.4338873,-0.11960639
0.5141087,-0.42004365,-0.23970295
1.7765144,-0.5477598,-1.4827574
1.100648,-0.43680328,-0.8655651
2.046646,-0.62496746,-1.7161556
0.9142454,-0.4231207,-0.6610801
1.1151584,-0.43824446,-0.87971497
1.1032044,-0.4376989,-0.8665843
1.1112192,-0.44836015,-0.8661041
2.1350822,-0.64617354,-1.7939801
0.30901474,-0.4453708,-0.020786967
1.8715968,-0.5726495,-1.5644127
2.21473,-0.6681761,-1.8638008
1.2556573,-0.46095207,-1.0087681
1.3456737,-0.46630782,-1.0889994
1.0596353,-0.44868663,-0.814167
0.4719332,-0.42314625,-0.19946598
0.81658703,-0.41901577,-0.56306565
1.7275348,-0.5359315,-1.4368368
1.2613641,-0.46588576,-1.0057019
1.8809029,-0.574899,-1.5728985
2.4532337,-0.73576593,-2.0676255
2.3629394,-0.7085854,-1.9913365
0.9976583,-0.42715096,-0.7576906
1.8613356,-0.57087725,-1.5564723
1.1205202,-0.44325086,-0.88281256
1.1650621,-0.4582902,-0.9177172
0.55760294,-0.41750988,-0.28492624
1.4867473,-0.4941696,-1.2205896
2.3617754,-0.7086502,-1.9907526
0.6814112,-0.41108626,-0.41455624
1.3966525,-0.4711498,-1.1415018
2.20621,-0.66568124,-1.8565038
2.0666533,-0.6262158,-1.7340316
0.21220559,-0.4625595,0.08384547
2.2520823,-0.6777151,-1.8948625
2.2295027,-0.6771953,-1.8761784
1.1210591,-0.4559441,-0.8739708
1.6619489,-0.5222432,-1.3765372
2.015633,-0.6142569,-1.6905462
1.6718165,-0.5213439,-1.3902776
1.4498159,-0.48315093,-1.1797452
0.83839417,-0.42638627,-0.5874823
2.6220927,-0.78195196,-2.2110527
1.978872,-0.6063035,-1.6584681
1.2641608,-0.45737025,-1.0137751
1.7025479,-0.5296909,-1.4138935
1.7500538,-0.540316,-1.4578599
1.1559451,-0.4540138,-0.90730834
2.0061598,-0.610603,-1.6828474
0.2880717,-0.45290077,0.004655231
0.27714795,-0.4481169,0.010568026
0.90940714,-0.41713777,-0.6614992
2.1069756,-0.63740915,-1.7690166
0.9847248,-0.42445916,-0.748369
0.47864562,-0.4204359,-0.20902853
0.7467417,-0.40927276,-0.49305913
1.6279781,-0.5159275,-1.34588
1.5109636,-0.49146894,-1.2363963
1.3828984,-0.4722966,-1.1230336
1.3610076,-0.4696287,-1.1050968
1.0732017,-0.4387988,-0.83593214
1.8398157,-0.5647393,-1.5369083
0.35152516,-0.44216913,-0.063351706
1.5904106,-0.5085031,-1.3126596
0.7409064,-0.406819,-0.488829
0.7286734,-0.41113052,-0.47124776
2.575525,-0.7693187,-2.1716318
1.9082135,-0.58691454,-1.5973991
1.835495,-0.5634225,-1.5331734
2.3611538,-0.7079508,-1.9881943
1.3291789,-0.47612387,-1.0678989
1.9184996,-0.5869085,-1.6052212
0.55942243,-0.41180325,-0.29264012
1.0184749,-0.43022376,-0.78365356
1.4656233,-0.4864634,-1.2011565
0.9855414,-0.42398322,-0.7514645
1.3734347,-0.4727733,-1.1196928
2.5714102,-0.7670892,-2.1675835
1.0295688,-0.4356044,-0.7877364
1.8214108,-0.559982,-1.5217863
0.8802684,-0.41768247,-0.62700593
1.0374242,-0.43738818,-0.79520273
2.1265812,-0.643348,-1.785673
1.7145535,-0.53185576,-1.4278384
1.8715024,-0.57620114,-1.5650402
2.1456661,-0.65395206,-1.8037194
2.0534449,-0.6236278,-1.7216452
0.797614,-0.410083,-0.54898983
0.24854141,-0.45868838,0.04584771
2.0174973,-0.613249,-1.691286
0.87139565,-0.4279971,-0.6200813
1.6336981,-0.51265544,-1.354091
2.0415995,-0.6238087,-1.7118894
2.4755404,-0.73970085,-2.0869522
1.6823553,-0.5240367,-1.3967025
1.4526747,-0.49224827,-1.1876004
0.93025476,-0.42556494,-0.69114274
0.9930044,-0.42674857,-0.7585746
2.2501626,-0.6798844,-1.893777
1.5974119,-0.51003045,-1.3207515
1.3921642,-0.47773004,-1.125847
0.18591616,-0.4682678,0.11190289
1.7294182,-0.5357592,-1.4409497
0.77705693,-0.40828323,-0.5236007
0.86805326,-0.4226479,-0.61224806
1.5307275,-0.5023761,-1.26064
2.4775028,-0.7405969,-2.0891726
0.427002,-0.4308393,-0.14552492
0.8374405,-0.4200144,-0.5923577
1.1961697,-0.45870894,-0.95031965
1.5249174,-0.4955443,-1.2540807
1.7471,-0.54065156,-1.456482
1.3746847,-0.4684127,-1.1215342
2.575664,-0.76854116,-2.1712005
2.180449,-0.6586018,-1.8341385
1.3586591,-0.47008455,-1.0991813
2.4685364,-0.73833245,-2.0812428
0.7456521,-0.4126774,-0.4890004
0.96804315,-0.4264391,-0.73225844
0.37958434,-0.4354323,-0.10083683
0.9544825,-0.43051618,-0.7113738
1.0251287,-0.43436718,-0.7882793
1.703677,-0.52988005,-1.415428
1.9613782,-0.59748256,-1.6423215
1.8470203,-0.56776416,-1.5423677
0.9974286,-0.4266994,-0.76345074
2.2410212,-0.6789339,-1.8849357
1.7024013,-0.53374654,-1.4170833
0.95133096,-0.43664873,-0.7045975
2.3670816,-0.7128766,-1.9936675
2.0526962,-0.62786835,-1.7229152
1.3479216,-0.46502665,-1.0971208
0.7854988,-0.4095321,-0.52964187
1.1635121,-0.4474318,-0.9240518
1.9643518,-0.60028666,-1.6459593
2.0393345,-0.61955494,-1.7095412
1.1825889,-0.45227894,-0.93325245
2.004363,-0.61014307,-1.6813402
0.45457178,-0.42715633,-0.18042715
0.73137003,-0.41804433,-0.47956464
1.77803,-0.547627,-1.4824624
1.6444329,-0.5157118,-1.3631254
1.3067497,-0.47142613,-1.0465722
1.9081832,-0.58497334,-1.5971245
1.428579,-0.47508904,-1.1701521
2.085744,-0.6330217,-1.7516428
2.1776943,-0.6570335,-1.8303183
0.34685466,-0.441943,-0.058874737
0.3203464,-0.44299042,-0.03443336
0.5932075,-0.41569397,-0.32164875
0.99570197,-0.42570686,-0.7591529
2.1310606,-0.64929,-1.7904872
2.3849258,-0.71682876,-2.0091786
0.9862011,-0.42932418,-0.7389009
0.9555747,-0.4298992,-0.7136985
1.9221491,-0.5864661,-1.6084205
2.0511136,-0.6252679,-1.7198313
2.0507543,-0.6255135,-1.7195977
0.3389254,-0.43970156,-0.055643063
1.0151912,-0.4366361,-0.77613866
0.9801602,-0.42804742,-0.7438709
0.51820403,-0.41952783,-0.24728464
