leg1hip,leg1knee,leg2hip,leg2knee
0.4106144,-5.673395,2.3011765,-2.5112247
0.93712825,2.5336106,0.49957955,-0.5022352
2.1943893,-0.46414256,1.680568,0.3289196
2.9264247,-1.3131958,2.150894,-0.630735
-0.4939328,4.3432555,0.5037316,-0.06813827
-1.2789584,5.6925325,1.2238717,1.1923807
1.245934,0.6409156,1.0141178,-0.02542986
0.37856323,2.1363568,1.8556271,0.913385
2.9423249,-0.6016633,1.900157,-0.4391321
1.2068549,1.2158742,0.72305274,-0.06035728
-0.04226751,1.5637939,0.8735702,0.36244047
2.8515942,-0.933098,2.0691535,0.10981035
3.1669927,-1.202507,1.7409446,-1.1104829
2.5968266,-1.2259841,-0.06390038,-2.3967798
0.70107126,-0.59210855,0.6768004,0.10704255
1.9987838,-0.8959833,1.590648,-0.027260961
1.4491692,1.4852188,3.018656,0.8074462
2.7752936,-1.0154845,2.0269938,0.08570436
2.8644931,-1.2848886,1.3680922,-0.72301656
-0.39565027,2.921016,0.4785726,-0.2678697
0.95148647,-1.4911437,0.83239275,0.04145555
1.2712644,0.8490305,0.63880783,-0.61340314
-0.45473513,2.3560672,2.4238684,1.3955245
3.5244813,-1.0768006,0.42977536,-2.9246976
1.7314347,0.2676789,1.0994353,0.49753815
0.85552037,0.32522064,2.9506843,0.75312847
1.0793936,-0.12140384,-0.31587064,-1.6838017
-0.49845132,4.9826694,0.5853995,-0.35013017
2.2998595,-0.7672857,1.6170021,0.13213392
0.002824165,4.292395,1.6471364,0.82279724
-1.2078384,-0.4886278,1.2548231,-0.5697734
1.6264524,-1.7169818,0.9917916,-0.52635944
-2.0527065,5.332455,1.310915,1.213248
1.9825628,-0.8753069,1.5081269,-0.1898273
2.5220578,-1.1600463,1.2628026,-0.24390873
3.119607,-1.3282692,0.23996215,-2.7331605
-0.024643153,3.4789834,0.32192755,-0.7537174
-1.0727553,2.2513454,2.1260116,1.1876311
-0.26777452,-1.5443918,1.4778825,0.7463107
-2.9193342,5.089051,1.4444925,0.89385194
-0.90502244,5.127531,0.63789445,-0.061216895
1.6251917,-0.2201207,2.7297802,1.93975
0.2878051,2.4596796,0.4513536,-0.4281078
2.4724424,-1.2507207,1.4708887,-1.2664558
-1.1113589,0.025852315,2.9525566,0.67596525
1.604928,0.4021693,0.5285873,-0.7507165
2.654087,-1.7116876,1.2699769,-0.7569358
2.6891205,-0.94034535,2.1747658,0.5920649
0.2107307,3.61814,0.58792484,-0.26325786
0.41258237,-1.2911669,1.247055,-0.110263586
